Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49
8:20:00,0.085,0.089,0.075,0.078,0.076,0.072,0.085,0.079,0.077,0.08,0.083,0.085,0.079,0.079,0.08,0.078,0.077,0.071,0.084,0.086,0.087,0.086,0.083,0.073,0.093,0.086,0.092,0.091,0.088,0.079,0.092,0.088,0.088,0.089,0.087,0.073,0.093,0.109,0.093,0.09,0.09,0.075,0.092,0.093,0.093,0.088,0.087,0.073
8:40:00,0.085,0.088,0.075,0.078,0.076,0.072,0.085,0.079,0.077,0.08,0.083,0.085,0.079,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.087,0.087,0.083,0.073,0.092,0.088,0.094,0.092,0.09,0.079,0.094,0.09,0.09,0.092,0.089,0.072,0.095,0.111,0.095,0.093,0.092,0.075,0.094,0.096,0.096,0.09,0.089,0.073
9:00:00,0.084,0.089,0.075,0.078,0.076,0.073,0.085,0.08,0.078,0.08,0.084,0.086,0.079,0.08,0.08,0.078,0.078,0.072,0.084,0.086,0.088,0.087,0.083,0.074,0.092,0.091,0.095,0.093,0.09,0.079,0.098,0.093,0.093,0.095,0.092,0.073,0.099,0.116,0.099,0.096,0.096,0.076,0.098,0.099,0.099,0.093,0.092,0.074
9:20:00,0.084,0.089,0.075,0.078,0.076,0.073,0.085,0.079,0.078,0.08,0.083,0.086,0.079,0.08,0.08,0.078,0.078,0.072,0.084,0.086,0.087,0.087,0.083,0.074,0.092,0.09,0.095,0.092,0.09,0.079,0.102,0.096,0.096,0.099,0.095,0.073,0.103,0.12,0.102,0.099,0.099,0.076,0.101,0.102,0.102,0.096,0.094,0.074
9:40:00,0.084,0.089,0.075,0.078,0.076,0.072,0.085,0.08,0.078,0.081,0.084,0.086,0.079,0.08,0.08,0.078,0.078,0.071,0.084,0.086,0.087,0.087,0.083,0.074,0.092,0.09,0.095,0.092,0.09,0.079,0.104,0.1,0.1,0.102,0.099,0.073,0.107,0.125,0.106,0.104,0.103,0.076,0.106,0.106,0.106,0.1,0.097,0.074
10:00:00,0.083,0.088,0.075,0.078,0.076,0.072,0.085,0.079,0.077,0.08,0.083,0.085,0.078,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.087,0.087,0.083,0.073,0.091,0.09,0.094,0.092,0.089,0.078,0.103,0.101,0.101,0.102,0.101,0.072,0.112,0.13,0.111,0.108,0.108,0.075,0.111,0.111,0.111,0.104,0.101,0.073
10:20:00,0.083,0.088,0.075,0.078,0.076,0.072,0.084,0.079,0.077,0.081,0.083,0.085,0.079,0.079,0.079,0.078,0.078,0.071,0.083,0.086,0.087,0.087,0.083,0.073,0.091,0.089,0.094,0.092,0.089,0.078,0.103,0.101,0.101,0.101,0.1,0.072,0.119,0.138,0.117,0.115,0.115,0.075,0.117,0.117,0.117,0.11,0.105,0.073
10:40:00,0.084,0.088,0.075,0.078,0.076,0.072,0.084,0.079,0.078,0.081,0.083,0.085,0.079,0.079,0.079,0.078,0.078,0.071,0.083,0.086,0.087,0.087,0.083,0.073,0.091,0.09,0.094,0.092,0.089,0.079,0.103,0.101,0.101,0.101,0.1,0.072,0.127,0.144,0.125,0.122,0.123,0.075,0.125,0.125,0.124,0.117,0.111,0.073
11:00:00,0.083,0.088,0.075,0.078,0.076,0.072,0.084,0.079,0.077,0.081,0.083,0.085,0.079,0.079,0.079,0.078,0.078,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.091,0.089,0.094,0.091,0.089,0.079,0.103,0.101,0.1,0.101,0.1,0.072,0.13,0.142,0.132,0.129,0.128,0.075,0.135,0.134,0.132,0.124,0.118,0.073
11:20:00,0.084,0.089,0.075,0.078,0.076,0.072,0.084,0.079,0.078,0.081,0.083,0.085,0.079,0.079,0.079,0.078,0.078,0.071,0.084,0.086,0.087,0.087,0.083,0.073,0.091,0.089,0.094,0.092,0.089,0.079,0.103,0.101,0.1,0.101,0.1,0.072,0.129,0.142,0.131,0.129,0.127,0.076,0.145,0.144,0.143,0.134,0.126,0.073
11:40:00,0.084,0.088,0.075,0.077,0.076,0.072,0.083,0.079,0.077,0.081,0.083,0.085,0.078,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.091,0.089,0.094,0.091,0.089,0.078,0.102,0.1,0.1,0.1,0.099,0.072,0.128,0.141,0.129,0.128,0.126,0.075,0.144,0.149,0.147,0.143,0.135,0.073
12:00:00,0.083,0.088,0.075,0.077,0.076,0.072,0.083,0.079,0.077,0.081,0.083,0.085,0.078,0.079,0.079,0.077,0.077,0.071,0.083,0.085,0.086,0.087,0.082,0.073,0.091,0.089,0.094,0.091,0.088,0.078,0.102,0.1,0.1,0.1,0.099,0.072,0.128,0.141,0.129,0.127,0.125,0.075,0.144,0.148,0.147,0.142,0.142,0.073
12:20:00,0.083,0.088,0.075,0.077,0.076,0.072,0.083,0.079,0.077,0.081,0.083,0.085,0.078,0.079,0.079,0.077,0.077,0.071,0.083,0.086,0.086,0.087,0.082,0.073,0.091,0.089,0.094,0.091,0.088,0.078,0.102,0.1,0.099,0.1,0.099,0.072,0.128,0.14,0.129,0.126,0.125,0.075,0.146,0.149,0.147,0.142,0.141,0.073
12:40:00,0.084,0.088,0.075,0.077,0.076,0.072,0.083,0.079,0.077,0.081,0.083,0.085,0.078,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.086,0.087,0.082,0.073,0.091,0.089,0.094,0.091,0.089,0.078,0.102,0.1,0.099,0.1,0.099,0.072,0.128,0.14,0.129,0.126,0.125,0.075,0.154,0.154,0.153,0.146,0.142,0.073
13:00:00,0.084,0.088,0.075,0.077,0.076,0.072,0.083,0.079,0.078,0.082,0.083,0.085,0.079,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.091,0.089,0.094,0.091,0.089,0.078,0.103,0.1,0.1,0.1,0.099,0.072,0.128,0.14,0.129,0.126,0.125,0.075,0.165,0.164,0.163,0.154,0.147,0.073
13:20:00,0.084,0.089,0.075,0.077,0.076,0.072,0.083,0.079,0.078,0.082,0.083,0.085,0.079,0.079,0.08,0.078,0.078,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.091,0.089,0.095,0.091,0.089,0.079,0.103,0.1,0.1,0.1,0.099,0.072,0.128,0.14,0.129,0.126,0.125,0.075,0.171,0.176,0.175,0.166,0.156,0.073
13:40:00,0.084,0.089,0.075,0.077,0.076,0.072,0.083,0.079,0.078,0.082,0.083,0.085,0.078,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.086,0.087,0.082,0.073,0.091,0.089,0.094,0.091,0.089,0.078,0.103,0.1,0.099,0.1,0.099,0.072,0.127,0.14,0.128,0.126,0.125,0.075,0.17,0.175,0.174,0.169,0.169,0.073
14:00:00,0.083,0.089,0.075,0.077,0.077,0.072,0.083,0.079,0.078,0.082,0.083,0.085,0.079,0.079,0.08,0.078,0.078,0.071,0.083,0.086,0.086,0.088,0.083,0.073,0.091,0.089,0.095,0.091,0.089,0.078,0.103,0.1,0.1,0.1,0.099,0.072,0.127,0.14,0.129,0.126,0.125,0.075,0.169,0.175,0.173,0.169,0.168,0.073
14:20:00,0.084,0.089,0.075,0.077,0.076,0.072,0.083,0.079,0.078,0.082,0.083,0.086,0.079,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.091,0.089,0.095,0.091,0.089,0.078,0.103,0.1,0.1,0.1,0.099,0.072,0.127,0.14,0.128,0.126,0.124,0.075,0.169,0.175,0.173,0.168,0.168,0.073
14:40:00,0.084,0.089,0.075,0.078,0.077,0.072,0.083,0.079,0.078,0.082,0.083,0.085,0.079,0.079,0.08,0.078,0.078,0.071,0.083,0.086,0.086,0.088,0.083,0.073,0.091,0.089,0.095,0.091,0.089,0.078,0.103,0.1,0.1,0.1,0.099,0.072,0.127,0.14,0.128,0.126,0.124,0.075,0.169,0.175,0.173,0.168,0.168,0.073
15:00:00,0.085,0.089,0.075,0.077,0.076,0.072,0.083,0.079,0.078,0.081,0.083,0.085,0.078,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.091,0.089,0.095,0.091,0.089,0.078,0.102,0.1,0.099,0.1,0.099,0.072,0.127,0.14,0.128,0.126,0.124,0.075,0.17,0.175,0.173,0.168,0.168,0.073
15:20:00,0.085,0.089,0.075,0.077,0.077,0.072,0.083,0.079,0.078,0.081,0.083,0.086,0.079,0.079,0.08,0.078,0.078,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.091,0.089,0.095,0.091,0.089,0.079,0.103,0.1,0.1,0.1,0.099,0.073,0.127,0.14,0.128,0.126,0.124,0.075,0.17,0.175,0.173,0.169,0.168,0.073
15:40:00,0.085,0.089,0.075,0.077,0.077,0.072,0.083,0.079,0.078,0.081,0.083,0.086,0.079,0.079,0.08,0.078,0.078,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.09,0.089,0.095,0.091,0.089,0.079,0.102,0.1,0.1,0.1,0.099,0.072,0.126,0.14,0.128,0.126,0.124,0.075,0.17,0.176,0.173,0.169,0.168,0.073
16:00:00,0.085,0.088,0.075,0.077,0.076,0.072,0.083,0.079,0.077,0.081,0.082,0.086,0.078,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.09,0.089,0.095,0.091,0.089,0.078,0.101,0.099,0.099,0.1,0.098,0.072,0.126,0.14,0.128,0.126,0.124,0.075,0.17,0.176,0.173,0.169,0.168,0.073
16:20:00,0.086,0.088,0.075,0.077,0.077,0.072,0.083,0.079,0.078,0.081,0.082,0.086,0.078,0.079,0.079,0.078,0.078,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.09,0.089,0.095,0.091,0.089,0.078,0.101,0.099,0.099,0.1,0.099,0.072,0.126,0.14,0.128,0.126,0.124,0.075,0.17,0.176,0.174,0.169,0.168,0.073
16:40:00,0.086,0.088,0.075,0.077,0.076,0.072,0.083,0.079,0.077,0.08,0.082,0.085,0.078,0.079,0.079,0.078,0.077,0.071,0.083,0.086,0.086,0.087,0.082,0.073,0.09,0.089,0.095,0.091,0.089,0.078,0.101,0.099,0.099,0.1,0.098,0.072,0.126,0.139,0.127,0.126,0.124,0.075,0.17,0.177,0.174,0.169,0.168,0.073
17:00:00,0.086,0.088,0.075,0.077,0.077,0.072,0.084,0.079,0.077,0.08,0.082,0.085,0.078,0.079,0.079,0.078,0.078,0.071,0.083,0.086,0.086,0.087,0.083,0.073,0.09,0.089,0.095,0.091,0.089,0.078,0.101,0.099,0.099,0.1,0.098,0.072,0.126,0.139,0.127,0.126,0.124,0.075,0.17,0.177,0.174,0.17,0.169,0.073
17:20:00,0.086,0.089,0.075,0.076,0.076,0.072,0.084,0.079,0.077,0.08,0.082,0.086,0.078,0.079,0.079,0.078,0.078,0.071,0.083,0.086,0.086,0.087,0.082,0.073,0.09,0.089,0.095,0.091,0.089,0.078,0.101,0.099,0.099,0.099,0.098,0.072,0.126,0.139,0.127,0.126,0.124,0.075,0.17,0.177,0.174,0.17,0.169,0.073
17:40:00,0.085,0.088,0.075,0.077,0.076,0.072,0.084,0.079,0.077,0.079,0.082,0.085,0.078,0.079,0.078,0.078,0.077,0.071,0.083,0.086,0.086,0.086,0.082,0.073,0.09,0.089,0.095,0.091,0.088,0.078,0.1,0.099,0.099,0.099,0.098,0.072,0.125,0.139,0.127,0.126,0.124,0.075,0.17,0.176,0.173,0.169,0.169,0.073
18:00:00,0.085,0.088,0.075,0.076,0.076,0.071,0.084,0.079,0.077,0.079,0.082,0.085,0.078,0.079,0.078,0.078,0.077,0.071,0.082,0.085,0.086,0.086,0.082,0.072,0.089,0.089,0.094,0.09,0.088,0.077,0.1,0.099,0.099,0.099,0.098,0.072,0.125,0.139,0.127,0.125,0.123,0.075,0.17,0.176,0.173,0.169,0.168,0.073
18:20:00,0.085,0.089,0.075,0.077,0.076,0.072,0.083,0.079,0.077,0.079,0.082,0.085,0.078,0.08,0.079,0.078,0.078,0.071,0.083,0.086,0.087,0.087,0.082,0.073,0.09,0.089,0.095,0.091,0.089,0.078,0.1,0.099,0.099,0.099,0.098,0.072,0.126,0.139,0.127,0.125,0.123,0.075,0.17,0.176,0.173,0.169,0.168,0.073
